Group Name,Facebook URL,Segment,Priority,Parents 4-8 Score,Book Promotion Allowed,Engagement,Group Size,English Audience,ARC Friendly,Review Potential,Kromi Fit,Status,Notes
Easy Peasy All-In-One Homeschool,https://www.facebook.com/groups/easypeasyhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Fieldschooling Adventures,https://www.facebook.com/groups/fieldschoolingadventures/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Finding Joy In Your Homeschool Journey,https://www.facebook.com/groups/findingjoyinyourhomeschooljourney/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Free Homeschooling Curriculum,https://www.facebook.com/groups/freehomeschoolingcurriculum/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Co-Op and Freebies,https://www.facebook.com/groups/homeschoolcoopandfreebies/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Connections,https://www.facebook.com/groups/homeschoolconnections/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Educational Free Market group,https://www.facebook.com/groups/homeschooleducationalfreemarket/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool For Free,https://www.facebook.com/groups/homeschoolforfree/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Freebies Galore,https://www.facebook.com/groups/homeschoolfreebiesgalore/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Gameschool,https://www.facebook.com/groups/homeschoolgameschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Giveaways & Freebies,https://www.facebook.com/groups/homeschoolgiveawaysandfreebies/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Journey,https://www.facebook.com/groups/homeschooljourney/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschool Planning and Organizing,https://www.facebook.com/groups/homeschoolplanningandorganizing/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschooling Mom’s Hangout,https://www.facebook.com/groups/homeschoolingmomshangout/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschooling And Unschooling,https://www.facebook.com/groups/homeschoolingandunschooling/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Homeschooling With Pinterest,https://www.facebook.com/groups/homeschoolingwithpinterest/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
iHomeschool Network,https://www.facebook.com/groups/ihomeschoolnetwork/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
It’s Not That Hard To Homeschool High School,https://www.facebook.com/groups/notthathardhomeschoolhigh/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Life of Fred,https://www.facebook.com/groups/lifeoffred/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Music In Our Homeschool,https://www.facebook.com/groups/musicinourhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
My Joy-Filled Homeschool,https://www.facebook.com/groups/myjoyfilledhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
New To Dynamic Homeschooler,https://www.facebook.com/groups/newtodynamichomeschooler/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
Real Life Homeschool Spaces,https://www.facebook.com/groups/reallifehomeschoolspaces/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group
