Group Name,Facebook URL,Segment,Priority,Parents 4-8 Score,Book Promotion Allowed,Engagement,Group Size,English Audience,ARC Friendly,Review Potential,Kromi Fit,Status,Notes,Membership Status,Tracking ID,Tracking URL,Join Requested Date,Check Again Date,Post Result,Post Date,Post URL,Post Attempt Count,GA4 Visitors,ARC Signups,Amazon Clicks,Reviews Generated,Visitor to ARC Signup Rate,ARC to Review Rate,Outcome Score,Last Checked,Last Error
Brave Schooling Middle & High School,https://www.facebook.com/groups/braveschoolingmiddlehighschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_024,https://kromiuniverse.com/arc?group=fb_024,,,Not attempted,,,0,,,,,,,,,
Brave Writer Lifestyle Group,https://www.facebook.com/groups/bravewriterlifestyle/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_025,https://kromiuniverse.com/arc?group=fb_025,,,Not attempted,,,0,,,,,,,,,
Charlotte Mason Show,https://www.facebook.com/groups/charlottemasonshow/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_026,https://kromiuniverse.com/arc?group=fb_026,,,Not attempted,,,0,,,,,,,,,
Christian Homeschooling With Netflix,https://www.facebook.com/groups/christianhomeschoolingwithnetflix/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_027,https://kromiuniverse.com/arc?group=fb_027,,,Not attempted,,,0,,,,,,,,,
Easy Peasy All-In-One Homeschool,https://www.facebook.com/groups/easypeasyhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_028,https://kromiuniverse.com/arc?group=fb_028,,,Not attempted,,,0,,,,,,,,,
Fieldschooling Adventures,https://www.facebook.com/groups/fieldschoolingadventures/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_029,https://kromiuniverse.com/arc?group=fb_029,,,Not attempted,,,0,,,,,,,,,
Finding Joy In Your Homeschool Journey,https://www.facebook.com/groups/findingjoyinyourhomeschooljourney/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_030,https://kromiuniverse.com/arc?group=fb_030,,,Not attempted,,,0,,,,,,,,,
Free Homeschooling Curriculum,https://www.facebook.com/groups/freehomeschoolingcurriculum/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_031,https://kromiuniverse.com/arc?group=fb_031,,,Not attempted,,,0,,,,,,,,,
Homeschool Co-Op and Freebies,https://www.facebook.com/groups/homeschoolcoopandfreebies/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_032,https://kromiuniverse.com/arc?group=fb_032,,,Not attempted,,,0,,,,,,,,,
Homeschool Connections,https://www.facebook.com/groups/homeschoolconnections/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_033,https://kromiuniverse.com/arc?group=fb_033,,,Not attempted,,,0,,,,,,,,,
Homeschool Educational Free Market group,https://www.facebook.com/groups/homeschooleducationalfreemarket/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_034,https://kromiuniverse.com/arc?group=fb_034,,,Not attempted,,,0,,,,,,,,,
Homeschool For Free,https://www.facebook.com/groups/homeschoolforfree/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_035,https://kromiuniverse.com/arc?group=fb_035,,,Not attempted,,,0,,,,,,,,,
Homeschool Freebies Galore,https://www.facebook.com/groups/homeschoolfreebiesgalore/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_036,https://kromiuniverse.com/arc?group=fb_036,,,Not attempted,,,0,,,,,,,,,
Homeschool Gameschool,https://www.facebook.com/groups/homeschoolgameschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_037,https://kromiuniverse.com/arc?group=fb_037,,,Not attempted,,,0,,,,,,,,,
Homeschool Giveaways & Freebies,https://www.facebook.com/groups/homeschoolgiveawaysandfreebies/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_038,https://kromiuniverse.com/arc?group=fb_038,,,Not attempted,,,0,,,,,,,,,
Homeschool Journey,https://www.facebook.com/groups/homeschooljourney/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_039,https://kromiuniverse.com/arc?group=fb_039,,,Not attempted,,,0,,,,,,,,,
Homeschool Planning and Organizing,https://www.facebook.com/groups/homeschoolplanningandorganizing/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_040,https://kromiuniverse.com/arc?group=fb_040,,,Not attempted,,,0,,,,,,,,,
Homeschooling Mom’s Hangout,https://www.facebook.com/groups/homeschoolingmomshangout/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_041,https://kromiuniverse.com/arc?group=fb_041,,,Not attempted,,,0,,,,,,,,,
Homeschooling And Unschooling,https://www.facebook.com/groups/homeschoolingandunschooling/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_042,https://kromiuniverse.com/arc?group=fb_042,,,Not attempted,,,0,,,,,,,,,
Homeschooling With Pinterest,https://www.facebook.com/groups/homeschoolingwithpinterest/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_043,https://kromiuniverse.com/arc?group=fb_043,,,Not attempted,,,0,,,,,,,,,
iHomeschool Network,https://www.facebook.com/groups/ihomeschoolnetwork/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_044,https://kromiuniverse.com/arc?group=fb_044,,,Not attempted,,,0,,,,,,,,,
It’s Not That Hard To Homeschool High School,https://www.facebook.com/groups/notthathardhomeschoolhigh/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_045,https://kromiuniverse.com/arc?group=fb_045,,,Not attempted,,,0,,,,,,,,,
Life of Fred,https://www.facebook.com/groups/lifeoffred/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_046,https://kromiuniverse.com/arc?group=fb_046,,,Not attempted,,,0,,,,,,,,,
Music In Our Homeschool,https://www.facebook.com/groups/musicinourhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_047,https://kromiuniverse.com/arc?group=fb_047,,,Not attempted,,,0,,,,,,,,,
My Joy-Filled Homeschool,https://www.facebook.com/groups/myjoyfilledhomeschool/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_048,https://kromiuniverse.com/arc?group=fb_048,,,Not attempted,,,0,,,,,,,,,
New To Dynamic Homeschooler,https://www.facebook.com/groups/newtodynamichomeschooler/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_049,https://kromiuniverse.com/arc?group=fb_049,,,Not attempted,,,0,,,,,,,,,
Real Life Homeschool Spaces,https://www.facebook.com/groups/reallifehomeschoolspaces/,Homeschool,B,6,Limited,Medium,Medium,Yes,No,5,6,Not contacted,Homeschool group,Not member,fb_050,https://kromiuniverse.com/arc?group=fb_050,,,Not attempted,,,0,,,,,,,,,
